crop,disease,image_count
Rice,Bacteria Wilt And Soft Rot,1
Rice,Leaf Blight,80
Rice,Alternaria Leaf Spot,4
Rice,Sheath Blight,76
Rice,Sheath Rot Of Rice,7
Rice,Curvularia Lunata,3
Rice,False Smut,6
Rice,Neopyrenochaeta Acicola,1
Garden Rhubarb,Tobacco Streak Virus,1
Garden Rhubarb,Ascochyta Fungi,5
Celosia,Epicoccum Fungi,2
Monarda,Impatiens Necrotic Spot Virus,3
Monarda,Powdery Mildew,1
London Planetree,Septoria Leaf Blotch,9
Ceylon Bowstring-Hemp,Anthracnose,5
Orchid,Tomato Spotted Wilt Virus,4
Orchid,Fusarium Wilts,1
Orchid,Anthracnose,13
Orchid,Cladosporium Fungi,1
Orchid,Blossom Rot,3
Honeylocust,Sulfur Shelf,1
Honeylocust,Thyronectria Canker,1
Rye,Anthracnose,2
Rye,Ergot,11
Hemp Marijuana,Rust,1
Hemp Marijuana,Powdery Mildew,5
Hemp Marijuana,Beet Curly Top Virus,26
Hemp Marijuana,Cercospora Leaf Spot,2
Peace Lily,Cylindrocladium Root Diseases,1
Japanese Pieris,Pestalotiopsis Leaf Spot,7
Japanese Pieris,Phytophthora Root And Crown Rots,1
Bloodflower Milkweed,Sooty Mold,2
Bacopa,Gray Mold,4
Turnip,White Rust,1
Turnip,Club Root Of Crucifers,14
Turnip,Black Rot,2
Turnip,Black Spot,16
Corn,Charcoal Rot,46
Corn,Ear Rots,526
Corn,Southern Rust,309
Corn,Southern Corn Leaf Blight,64
Corn,Pythium,14
Corn,Crazy Top,136
Corn,Alternaria Black Molds Stem Cankers,5
Corn,Bacterial Rot And Blight,1157
Corn,Maize White Line Mosaic,4
Corn,Diplodia Stalk Rot,45
Corn,Genetic Flecking Or Striping,51
Corn,Maize Lethal Necrosis,2786
Corn,Physoderma Stalk Rot,78
Corn,Pantoea,98
Corn,Aspergillus Ear And Kernel Rot,33
Corn,Cladosporium Ear Rot,7
Corn,Nigrospora Ear Rot,6
Corn,Penicillium Ear Rot,8
Corn,Common Rust,20487
Corn,Fusarium Wilts,8
Corn,Goss,227
Corn,Bacterial Leaf Streak,17
Corn,Anthracnose,129
Corn,Damping Off,10
Corn,Tar Spot,150
Corn,Barley Yellow Dwarf Virus,7
Corn,Smut,505
Corn,Head Smut,228
Corn,Downy Mildew,30
Corn,Leaf Blight,8147
Corn,Crown Rot,5
Corn,Epicoccum Fungus,6
Corn,Corn Stunt Spiroplasma,29
Corn,Maize Dwarf Mosaic Virus,27
Corn,Brown Spot,176
Corn,Carbonum Leaf Spot,30
Corn,Rhizopus Stolonifer,4
Corn,Fusarium Disease,207
Corn,Leaf Spot,520
Corn,Gray Leaf Spot,9604
Corn,Green Mold,7
Corn,Northern Leaf Blight,10764
Corn,Holcus Spot,49
Corn,Eyespot,119
Corn,General And Mixed Stalk Rots,22
Corn,Diplodia,105
Corn,Root Rot,7
Corn,Maize Streak Virus,5076
Corn,Maize Chlorotic Dwarf Virus,105
Corn,Sugarcane Mosaic Virus,3
Corn,Trichoderma Ear Rot,67
Corn,Bacterial Stalk Rot,76
Corn,Purple Leaf Sheath,11
Tea,Leaf Blight,347
Tea,Red Leaf Spot,1243
Yucca,Microsphaeropsis Concentrica,2
Lilyturf,Anthracnose,5
Lilyturf,Fusarium Wilts,1
Celery,Cercospora Leaf Spot,45
Celery,Anthracnose,29
Celery,Septoria Leaf Blotch,2
Yarrow,Bacterial Leaf Spot,1
Rhododendrons And Azaleas,Exobasidium Fungus,14
Rhododendrons And Azaleas,Sudden Oak Death,1
Rhododendrons And Azaleas,Guignardia Blotch,12
Rhododendrons And Azaleas,Pestalotiopsis Leaf Spot,16
Rhododendrons And Azaleas,Botryosphaeria Rots And Cankers,6
Rhododendrons And Azaleas,Bitter Rot And Anthracnose,12
Rhododendrons And Azaleas,Seifertia Azaleae,1
Sage Herbs,Downy Mildew,4
Sage Herbs,Alfalfa Mosaic Virus,1
Sage Herbs,Anthracnose,2
Sage Herbs,Bacterial Leaf Spot,3
Sage Herbs,Gray Mold,8
Eggplant,Small Leaf Disease,50
Eggplant,Phytophthora Blight,87
Eggplant,Cercospora Leaf Spot,171
Eggplant,Wilt Disease,62
Bleeding Heart,Tobacco Rattle Virus,13
Orange,Blue Mold,23
Orange,Huanglongbing,90437
Orange,Citrus Blight Disease,1
Honeysuckle,Powdery Mildew,11
Porcelainflower,Impatiens Necrotic Spot Virus,2
Pachystachys,Phoma Blight,1
Dill,Curvularia Lunata,11
Oriental Poppy,Alternaria Fungus,6
Oriental Poppy,Anthracnose,14
Pumpkin,Bacterial Leaf Spot,5780
Pumpkin,Downy Mildew,13395
Pumpkin,Mosaic Disease,5780
Onion,Alternaria Embellisia Togashi,24
Onion,Aster Yellows Phytoplasma,25
Onion,Bread Mold,13
Onion,Leaf Spot,10
Onion,Smut,1
Onion,Fusarium Damping-Off,11
Onion,Anthracnose,13
Onion,Sour Skin Of Onion,1
Onion,Southern Blight,3
Onion,Botrytis Aclada Fresen,29
Onion,Iris Yellow Spot Virus,14
Onion,Root Rot,15
Onion,Aspergillus Fungi,21
Onion,Downy Mildew,21
Onion,White Rot,14
Onion,Onion Rust,16
Onion,Onion Smudge,4
Onion,Bacterial Soft Rot,3
Peach,Anthracnose,16
Peach,Brown Rot,220
Peach,Peach Scab,91
Peach,Leaf Curl,222
Peach,X-Disease,4
Peach,Crown Gall,1
Peach,Fusicoccum Canker,4
Peach,Rust,8
Peach,Bacterial Leaf Spot,21823
Peach,Armillaria Root Rot,7
Peach,Botryosphaeria Canker,14
Peach,Peach Mosaic Virus,10
Peach,Stigmina Fungus,19
Peach,Powdery Mildew,8
Winter-Flowering Begonia,Bacterial Streak,5
Willow,Melampsora Rust,3
Willow,Cytospora Cankers,4
Willow,Marssonina Leaf Spot,14
Willow,Cercospora Fungi,4
Benincasa,Downy Mildew,1
Bird-Of-Paradise,Leptosphaeria Leaf Blight,1
Bamboo,Java Black Rot,4
Bamboo,Anthracnose,2
Bell Pepper,Blossom End Rot,112
Bell Pepper,Bacterial Leaf Spot,1307
Bell Pepper,Powdery Mildew,28
Tomato,Bacterial Pith Necrosis,9
Tomato,Anthracnose,30
Tomato,Southern Blight,70
Tomato,Alternaria Black Molds Stem Cankers,65
Tomato,Tomato Spotted Wilt Virus,189
Tomato,Tomato Leaf Curl Virus,50027
Tomato,Septoria Leaf Blotch,33627
Tomato,Tomato Necrotic Dwarf Virus,5
Tomato,Rhizopus Soft Rots,15
Tomato,Fusarium Damping-Off,13
Tomato,Phytophthora Blight,208
Tomato,Leaf Mold,16578
Tomato,Alfalfa Mosaic Virus,1129
Tomato,Clover Proliferation Phytoplasma,1
Tomato,Blossom End Rot,17
Tomato,Fusarium Wilt,17
Tomato,Cucumber Mosaic Virus,19
Tomato,Bacterial Wilt,27
Tomato,Phytophthora Root And Crown Rots,10
Tomato,Phytoplasma,1
Tomato,Leaf Mosaic Virus,9604
Tomato,Tomato Ringspot Virus,1
Tomato,Bacterial Canker And Wilt Of Tomato,20
Tomato,Gray Mold,32
Tomato,Sclerotinia Rots,25
Tomato,Brown Spot,2
Tomato,Bacterial Leaf Spot,27205
Tomato,Early Blight,20584
Tomato,Verticillium Wilt,1333
Tomato,Bacterial Soft Rot,7
Tomato,Target Spot,22821
Tomato,Phoma Blight,2
Tomato,Bacterial Speck Of Tomato,19
Tomato,Beet Curly Top Virus,2
Tomato,Powdery Mildew,1256
Tomato,Late Blight,23469
Agapanthus,Bitter Rot And Anthracnose,2
Basil,Downy Mildew,102
Basil,Curvularia Lunata,2
Cherry,Black Knot,40
Cherry,Powdery Mildew,9195
Cherry,Milk-White Toothed Polypore,9
Cherry,Little Cherry Virus 2,1
Cherry,Bacterial Brown Spot Of Beancanker Of Stone Fruit,2
Cherry,Brown Rot,13
Cherry,Cherry Rusty Mottle Virus,3
Cherry,Blumeriella Leaf Spot Of Cherry And Plum,117
Cherry,X-Disease,2
Buddha S Hand,Green Mold,5
Almond,Rust,4
Almond,Brown Spot,42
Almond,Brown Rot,37
Verbena,Acidovorax Bacteria,5
Verbena,Impatiens Necrotic Spot Virus,2
Verbena,Powdery Mildew,1
Guava,Pestalotiopsis Leaf Spot,2
Hemlock,Dermea,2
Beet,Southern Blight,4
Beet,Aphanomyces Root Rot,34
Beet,Cercospora Fungi,36
Beet,Beet Curly Top Virus,8
Beet,Crown Gall,5
Beet,Powdery Mildew,23
Beet,Beet Necrotic Yellow Vein Virus,11
Beet,Beet Western Yellows Virus,6
Geranium,Gray Mold,6
Geranium,Bacterial Blight,13
Geranium,Brown Spot,2
Geranium,Rust,13
Geranium,Pelargonium Flower Break Virus,2
Geranium,Pythium Diseases,3
American Basswood,Yellow Cap Fungi,1
Eastern Hemlock,Hemlock Tip Blight,19
Eastern Hemlock,Hemlock Varnish Shelf,8
Eastern Hemlock,Hemlock Rust,8
Solenostemon,Downy Mildew,25
American Chestnut,Basal Cankers,47
Nepenthes Pitcher Plants,Pestalotiopsis Leaf Spot,1
Soybean,Alfalfa Mosaic Virus,36
Soybean,White Mold,594
Soybean,Bacterial Pustule,6112
Soybean,Cercospora,193
Soybean,Herbicide Injury,5918
Soybean,Phyllosticta Leaf Spot,292
Soybean,Phymatotrichum Root Rot,3
Soybean,Diaporthe,510
Soybean,Brown Spot,6125
Soybean,Soybean Cyst Nematode,36
Soybean,Top Dieback,45
Soybean,Fusarium Disease,6480
Soybean,Rhizoctonia,108
Soybean,Taproot Decline On Soybean,19
Soybean,Phytophthora,78
Soybean,Soybean Dwarf Virus,117
Soybean,Soybean Mosaic Virus,125
Soybean,Iron Deficiency Chlorosis,5937
Soybean,Tobacco Ringspot Virus,5
Soybean,Target Spot,5
Soybean,Green Stem,416
Soybean,Rust,400
Soybean,Brown Stem Rot,217
Soybean,Pythium,8
Soybean,Soybean Vein Necrosis Virus,225
Soybean,Bacterial Blight,6336
Soybean,Red Crown Rot Of Soybean,6
Soybean,Bean Pod Mottle Virus,42
Soybean,Downy Mildew,433
Soybean,Southern Blight,25
Soybean,Potassium Deficiency,5872
Soybean,Tobacco Streak Virus,148
Soybean,Anthracnose,88
Soybean,Charcoal Rot,149
Soybean,Powdery Mildew,111
Soybean,Frogeye Leaf Spot,6458
Balloon-Flower,Tomato Spotted Wilt Virus,3
Lady S-Mantle,Cercospora Fungi,4
Leucospermum,Pestalotia Fungi,3
Viburnum,Downy Mildew,6
Mango,Phaeoramularia Fungus,3
Mango,Anthracnose,2600
Mango,Bacterial Canker,3384
Mango,Powdery Mildew,1625
Mango,Sooty Mould,2175
Mango,Pestalotiopsis Blight,1
Mango,Die Back,2130
Rosemary,Powdery Mildew,9
Carnation,Bacterial Leaf Spot,3
Carnation,Rust,5
Alfalfa,Downy Mildew,14
Alfalfa,Sooty Mold,1
Alfalfa,Fusarium Wilt,9
Alfalfa,Violet Root Rot,4
Alfalfa,Phytophthora Root And Stem Rot,18
Alfalfa,Spring Blackstem,8
Alfalfa,Leptosphaerulina Leaf Blight,8
Alfalfa,Summer Black Stem,19
Alfalfa,Leptotrochila Fungus,6
Alfalfa,Rust,1
Alfalfa,Bacterial Wilt,13
Alfalfa,Verticillium Wilt,21
Alfalfa,Damping-Offroot Rot,13
Alfalfa,Crown Wart,1
Alfalfa,Sclerotinia Stem Rot,13
Alfalfa,Aster Yellows,1
Alfalfa,Anthracnose,15
Alfalfa,Alfalfa Mosaic Virus,7
Alfalfa,Stemphylium Leaf Spot,10
Birch,Birch Conk,11
Birch,Cryptocline Fungus,59
Birch,Neonectria Canker,1
Birch,Powdery Mildew,10
Wheat,Head Scab,365
Wheat,Septoria Leaf Blotch,577
Wheat,Alternaria Blight,3
Wheat,Smut,1242
Wheat,Wheat Streak Mosaic Virus,21
Wheat,Barley Yellow Dwarf Virus,20
Wheat,Powdery Mildew,318
Wheat,Glume Blotch,21
Wheat,Root Rot,829
Wheat,Bacterial Leaf Streak Black Chaff,129
Wheat,Downy Mildew,7
Wheat,Leaf Spot,1
Wheat,Rust,5579
Wheat,Tan Spot,20
Wheat,Eyespot,13
Wheat,Cephalosporium Stripe,12
Wheat,Sooty Mold,3
Wheat,Penicillium Fungi,2
Wheat,Cochliobolus Leaf Spot,4
Wheat,Septoria Leaf Spot And Cankers,4
Yew,Cryptocline Needle Blight,25
Yew,Phytophthora Root Rot,2
Yew,Pestalotiopsis Leaf Spot,5
Cucumber,Bacterial Wilt,395
Cucumber,Southern Blight,4
Cucumber,Phytophthora Blight,85
Cucumber,Charcoal Rot,1
Cucumber,Cucumber Mosaic Virus,1
Cucumber,Angular Leaf Spot,230
Cucumber,Alternaria Black Molds Stem Cankers,8
Cucumber,Pythium Diseases,199
Cucumber,Anthracnose,397
Cucumber,Powdery Mildew,204
Cucumber,Choanephora Fruit Rot,1
Cucumber,Downy Mildew,557
Cucumber,Belly Rot,178
Cucumber,Gray Mold,1
Cucumber,Phytoplasma,3
Cucumber,Tomato Ringspot Virus,6
Cucumber,Gummy Stem Blight,138
Cucumber,Corynespora Leaf Spot,32
Cucumber,Fusarium Wilts,1
Florist S Spiraea,Tobacco Rattle Virus,3
Florist S Spiraea,Leaf Spot,6
Peanut,Tomato Spotted Wilt Virus,5
Peanut,Leptosphaerulina Leaf Blight,6
Peanut,Phyllosticta Leaf Spot,1
Peanut,Southern Blight,27
Peanut,Cercospora Fungi,41
Peanut,Sclerotinia Stem Rot,18
Peanut,Peanut Rust,1
Peanut,Java Black Rot,5
Papaya,Anthracnose,1157
Papaya,Alternaria Black Molds Stem Cankers,2
Papaya,Black Spot,7
Papaya,Corynespora Leaf Spot,2
Papaya,Papaya Mosaic Virus,2732
Meserve Holly,Root Rot,4
Meserve Holly,Black Stem,3
Cauliflower,Black Rot,3245
Cauliflower,Bacterial Soft Rot,4266
Cauliflower,Downy Mildew,4328
Cauliflower,Alternaria Leaf Spot,54
Nightblooming Cactus,Curvularia Cactivora,4
Nightblooming Cactus,Epicoccum Fungi,5
Pomegranate,Aspergillus Fungi,4
Squash,Downy Mildew,15111
Squash,Plectosphaerella Fungus,34
Squash,Fusarium Damping-Off,22
Squash,Phytophthora Blight,288
Squash,Septoria Leaf Blotch,7
Squash,Blossom End Rot,7
Squash,Papaya Ringspot Virus,12
Squash,Cercospora Fungi,10
Squash,Fusarium Wilts,15
Squash,Alternaria Black Molds Stem Cankers,1
Squash,Gummy Stem Blight,18
Squash,Southern Blight,14
Squash,Brown Spot,4
Squash,Choanephora Fruit Rot,39
Squash,Bacterial Wilt,9
Squash,Bacterial Leaf Spot,8
Squash,Cucurbit Yellow Vine Decline,1
Squash,Anthracnose,39
Squash,Beet Curly Top Virus,1
Squash,Flower Blights,10
Apple,Black Rot,11912
Apple,Cedar Apple Rust,13605
Apple,Cherry Rasp Leaf Virus,1
Apple,Ceratobasidium Ochroleucum,4
Apple,Xylaria Root Rots,1
Apple,Crown Gall,3
Apple,Powdery Mildew,1193
Apple,Bitter Rot And Anthracnose,23
Apple,Phyllosticta Arbutifolia Ellis,5
Apple,Grey Spot,4810
Apple,Cytospora Cankers,1
Apple,Sooty Blotch,3
Apple,Tomato Ringspot Virus,1
Apple,Phytophthora Root And Crown Rots,2
Apple,Apple Scab,7583
Apple,Blister Spot,2
Apple,Flyspeck,3
Apple,Alternaria Blotch,5343
Apple,Apple Mosaic Virus,4965
Apple,Southern Blight,5
Apple,Apple Scar Skin Viroid,1
Apple,Brown Spot,5655
Apple,Armillaria Root Rot,1
Apple,Blue Mold,17
Apple,Fire Blight,21
Strawberry,Leaf Scorch,11461
Strawberry,Leaf Spot,1400
Strawberry,Powdery Mildew,865
Strawberry,Phytoplasma,1
Strawberry,Angular Leaf Spot Of Strawberry,18
Strawberry,Red Stele,1
Strawberry,Phomopsis Leaf Blight And Fruit Rot,14
Strawberry,Anthracnose,276
Potato,Late Blight,11615
Potato,Alternaria Black Molds Stem Cankers,11619
Potato,Southern Blight,44
Potato,Fusarium Damping-Off,80
Potato,Bacteria Wilt And Soft Rot,616
Potato,Charcoal Rot,11
Potato,Slime Mold,7
Potato,Common Scab Of Potato,69
Potato,Tomato Spotted Wilt Virus,100
Potato,Potato Virus Y,9
Potato,Pythium Root And Stem Rot,39
Potato,Sclerotinia Timber Rot,2
Potato,Tobacco Rattle Virus,1
Potato,Black Rot,25
Potato,Penicillium Fungi,87
Potato,Geotrichum Fungi,3
Potato,Rhizoctonia Damping-Off,32
Pepper,Bacterial Leaf Spot,10147
Pepper,Zonate Leaf Spot,8
Pepper,Yellow Mottle Virus,191
Pepper,Septoria Leaf Blotch,25
Pepper,Powdery Mildew,6
Marigold,Gray Mold,2
Lettuce,Tomato Spotted Wilt Virus,25
Lettuce,Wilt And Leaf Blight On Lettuce,6
Lettuce,Damping-Offroot Rot,16
Lettuce,Bacterial Soft Rot,2
Lettuce,Cercospora Leaf Spot,11
Lettuce,Phytoplasma,1
Lettuce,Alternaria Black Molds Stem Cankers,12
Lettuce,Powdery Mildew,62
Lettuce,Sclerotinia Stem Rot,151
Lettuce,Gray Mold,22
Lettuce,Leaf Mosaic Virus,41
Lettuce,Black Spot,7
Lettuce,Lettuce Big Vein-Associated Virus,22
Lettuce,Downy Mildew,181
Lettuce,Bacterial Leaf Spot,7
Lettuce,Southern Blight,13
Lettuce,Septoria Blight,19
Lettuce,Lettuce Chlorosis Virus,23
Chinese Lantern,Abutilon Mosaic Virus,4
Pear,Pear Scab,17
Pear,Entomosporium Leaf Spot,6
Pear,Phytoplasma,8
Pear,Juniper-Pear Rust,6
Pear,Powdery Mildew,6
Pear,Bitter Rot And Anthracnose,11
Tricyrtis,Potyvirus,2
Great Blue Lobelia,Tomato Spotted Wilt Virus,4
Plum,Pruniphilomyces Circumscissus,6
Plum,Cercospora Fungi,24
Plum,Prune Dwarf Virus,2
Plum,Black Knot,19
Plum,Brown Rot,105
Plum,Blumeriella Leaf Spot Of Cherry And Plum,27
Plum,Leaf Curl,67
Plum,Powdery Mildew,10
Plum,Pox Virus,33
Plum,Bacterial Leaf Spot,16
Plum,Rust,44
Alumroot,Rust,12
Alumroot,Tobacco Rattle Virus,2
Utah Serviceberry,Gynosporanium Rusts,10
Japanese Pachysandra,Alfalfa Mosaic Virus,4
Gardenia,Mycosphaerella Fungi,3
Gardenia,Black Rot,4
Canna,Canna Yellow Mottle Virus,5
Leather Flower,Ascochyta Fungi,10
Leather Flower,Leptosphaeria Leaf Blight,1
Leather Flower,Clematis Chlorotic Mottle Virus,1
Quinoa,Potato Virus X,1
Tulip,Fusarium Wilts,16
Tulip,Gray Mold,2
Lemon Grass,Lemongrass Rust,5
Lemon Grass,Leaf Blotch,1
Lemon Grass,Ascochyta Fungi,2
Cydonia,Quince Rust,7
Ginger,Leaf Spot,25
Vanilla,Black Spots,1000
Vanilla,Rotten Stem,500
Cyclamen,Fusarium Root Rot And Wilt,1
Cyclamen,Impatiens Necrotic Spot Virus,2
Cyclamen,Gray Mold,2
Jerusalem Artichoke,Rust,3
Jerusalem Artichoke,Powdery Mildew,1
New Guinea Impatien,Gray Mold,1
New Guinea Impatien,Myrothecium Leaf Spot,8
Lilac,Anthracnose,28
Lilac,Bacterial Leaf Speck,2
Lilac,Armillaria Root Rot,2
Lilac,Ascochyta Fungi,23
Lilac,Powdery Mildew,1
Moringa,Black Spot,2
Brazilian Jasmine,Cucumber Mosaic Virus,5
Mandevilla,Fusarium Wilts,5
Fir,Indian Paint Fungus,2
Fir,Phomopsis Stem Canker,3
Fir,Gray Mold,3
Fir,Annosum Root Disease,5
Fir,Black Stain Root Disease,2
Fir,Sulfur Shelf,5
Fir,Phyllosticta Leaf Spot,28
Fir,Rhizosphaera Needle Cast,26
Fir,Armillaria Root Rot,1
Fir,Anthracnose,7
Fir,Phytophthora Root And Crown Rots,4
Fir,Cylindrocarpon Fungi,8
Fir,Diplodia Sapinea De Not,8
Fir,Fir Needle Cast,17
Fir,Fir-Fern Rust,12
Fir,Sudden Oak Death,1
Fir,Delphinella Shoot Blight,1
Fir,Laminated Root Disease,1
Fir,Scleroderris Canker Of Western Firs,4
Fir,Fir Broom Rust,7
Spinach,Downy Mildew,44
Spinach,Cladosporium Fungi,23
Spinach,White Rust,12
Sycamore,Bacterial Leaf Scorch,1
Citrus,Phytophthora Basal Canker,3
Citrus,Pestalotiopsis Leaf Spot,2
Citrus,Zasmidium Citrigriseum,3
Citrus,Botryosphaeria Rots And Cankers,2
Citrus,Penicillium Fungi,83
Citrus,Alternaria Black Molds Stem Cankers,2
Citrus,Canker,547
Citrus,Sooty Mold,2
Citrus,Greening Disease,145
Citrus,Anthracnose,14
Citrus,Phyllosticta Leaf Spot,3
Citrus,Gray Mold,5
Citrus,Citrus Psorosis Virus,1
Citrus,Citrus Tristeza Virus,8
Citrus,Coniothyrium Fungi,2
