crop,total_images,disease_class_count
False Spiraea,1,1
Cape Primrose,2,1
Arborvitae,21,3
Privet,16,1
Princesstree,7,1
Common Zinnia,6,1
Larch,7,2
Pincushions,1,1
Mountain Laurel,2,1
Common Hop,245,6
Wisterias,4,2
Philodendron,1,1
Aralia,1,1
Spruce,168,11
Carrot,151,2
Garlic,198,2
Durian,3115,2
Dieffenbachia,3,1
Quince,2,1
Zinnia,25,5
Dogwood,86,8
Pineapple,8,1
Star Of Bethlehem,4,1
Sugarcane,9466,12
Phlox,87,4
Pea,66,7
Touch-Me-Not,17,2
Toothache Plant,3,1
Anemone,4,1
Murraya,14,3
Foamflower,3,1
Eastern Redbud,21,3
Sassafras,3,1
Firethorn,1,1
Calibrachoa,12,3
Mountainmint,1,1
Hickory,90,8
Gloxinia,2,2
St  Johnswort,3,2
Poplar,49,12
Beeblossom,1,1
Petunia,12,3
Astilbe,1,1
Sapote,2,1
Hoya,2,1
American Holly,10,1
Kale,4,1
Ninebark,8,1
Satsuki Azalea,6,1
Stonecrop,3,2
Mallows,16,1
Elephant-Ear,2,1
Rocketsalad,8,1
Camphortree,3,1
Honeydew,12,2
Nectarine,3,2
Begonia,2,1
Koelreuteria,1,1
Hellebore,5,1
Clematis,1,1
Japanese Spiraea,3,1
Cashew,3311,2
Boston Swordfern,4,1
Thornless Honeylocust,7,1
Peony,79,8
Aspenpoplar,55,9
Acacia,2,1
Winged Burning Bush,8,1
Velvet Bentgrass,1,1
Edible Fig,5,2
American Boxwood,31,1
Tickseed,8,3
Quickstick,2,1
American Pistachio,14,3
English Ivy,9,2
Bottlebrush,4,2
Coneflower,28,3
Cosmos,8,1
Black Cohosh,3,1
Peperomia,1,1
Coleus,26,2
Bean,1149,20
Witch-Hazel,38,2
White Mulberry,10,3
Blackberry Lily,7,1
American Sycamore,8,3
Common Horse Chestnut,2,1
Columbine,1,1
Melon,958,21
Costus,3,1
Microbiota,14,1
Parsley,21,2
Bellflower,1,1
Italian Cypress,13,1
Common Elderberry,9,1
Blueberry,432,15
Dracaena,1,1
Daisy,46,4
Asian Bayberry,1,1
Heliconia,6,2
Mustard,43,7
Cordyline,3,1
Hydrangea,53,6
